Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-3),Total scope 2 greenhouse gas emissions (t CO2-3),Total energy consumption (GJ)
Owens-Illinois (Australia) Pty Ltd,"509,925","314,745","8,354,398"
OZ Minerals Limited,"97,274","181,875","2,248,569"
OzGen Holdings Australia Pty Ltd,"10,173,421","38,468","113,493,236"
Paper Australia Pty Ltd,"415,035","224,058","15,046,741"
PaperlinX Limited,"146,503","42,803","3,346,556"
Parmalat Australia Ltd,"22,513","80,877","691,924"
Peabody Energy Australia Pty Ltd,"2,575,759","155,264","3,548,750"
Pechiney Consolidated Australia Pty Limited,"983,247","6,899,753","37,273,659"
Penrice Soda Holdings Limited,"302,675","219,418","4,085,377"
Perilya Limited,"9,436","110,275","551,355"
PMP Limited,"20,448","94,283","702,265"
Port Waratah Coal Services Limited,989,"121,696","505,568"
Power and Water Corporation,"1,127,228","130,516","21,491,276"
Pratt Consolidated Holdings Pty. Ltd.,"353,221","1,021,007","17,692,231"
Prime Infrastructure Holdings Limited,"131,761","3,929","189,974"
Prosafe Production Services (Australia) Pty Ltd,"478,201",0,"1,149,211"
PTTEP Australia Perth Pty Ltd,"144,106",453,"915,430"
Public Transport Authority of Western Australia,"9,263","98,856","559,047"
Qantas Airways Limited,"3,956,061","224,024","57,806,437"
Qenos Holdings Pty Ltd,"839,465","351,664","39,473,326"
QIC Limited,"2,582","108,532","447,175"
QMAG Limited,"219,541","74,343","1,456,570"
QR Limited,"703,556","723,609","12,999,230"
Queensland Alumina Limited,"3,556,459","726,522","47,784,970"
Queensland Electricity Transmission Corporation Limited,"8,341","1,688,473","6,869,586"
Queensland Nickel Pty Ltd,"1,248,685","43,692","17,211,129"
Queensland Nitrates Pty Ltd,"713,007","49,471","3,305,209"
Rail Corporation New South Wales,"86,273","638,463","3,817,961"
Ramsay Health Care Limited,"14,945","151,385","867,738"
Resolute Mining Limited,"15,026","105,730","649,819"
Rio Doce Australia Pty Limited,"1,235,783","101,102","1,802,666"
Rio Tinto Limited,"7,701,301","9,651,903","127,321,860"
Roc Oil Company Limited,"139,533",0,"762,450"
Salvage Pty Ltd,"8,734","173,526","766,046"
Santos Ltd,"3,571,231","39,723","35,325,601"
SCA Tissue Australia Pty Limited,"50,148","176,444","1,494,014"
Sembsita Australia Pty. Limited,"371,394","23,671","918,458"
Shell Australia Limited,"1,442,496","493,836","337,883,431"
Silicon Metal Company of Australia Pty Ltd,"31,156","319,265","3,140,181"
Silk Logistics Group Holdings Pty Limited,"90,481",5,"1,300,393"
Simplot Australia (Holdings) Pty Limited,"79,440","51,907","1,359,467"
Snowy Hydro Limited,"167,917","335,450","17,866,132"
Sonoma Mine Management Pty Ltd,"181,711","31,720","1,308,110"
South Australian Water Corporation,"57,036","215,746","1,328,719"
Southern Cross Airports Corporation Holdings Limited,"4,277","88,658","436,990"
SP Australia Networks (Transmission) Ltd,"29,618","1,522,520","4,529,293"
SPI (Australia) Assets Pty Ltd,"561,873","282,173","2,958,214"
SPI Electricity & Gas Australia Holdings Pty Ltd,"151,296","669,007","2,118,580"
St Barbara Limited,"80,318","53,972","1,655,132"
St Vincent's Health Australia Ltd,"9,221","116,168","610,381"
Stanwell Corporation Limited,"7,445,704","18,101","84,465,134"
State Transit Authority of NSW,"142,904","10,775","2,293,569"
Stockland Corporation Ltd,"19,099","128,755","775,649"
Sun Metals Holdings Limited,"13,337","883,693","3,646,512"
SunWater,"2,626","160,734","687,809"
Sydney Water Corporation,"139,789","313,368","2,086,852"
Tabcorp Holdings Limited,"9,849","141,800","737,235"
Tarong Energy Corporation Limited,"8,230,839","135,085","94,325,696"
Tarong North Pty Ltd,"394,776","3,849","4,534,247"
Teekay Holdings Australia Pty Ltd,"117,088","1,353","1,618,215"
Telstra Corporation Limited,"57,243","1,382,642","6,078,979"
Thales Australia Holdings Pty Ltd,"45,432","47,210","462,895"
The Maddingley Mine Trust,"96,424",383,"19,105"
The Trustee for Costa's Unit Trust,"33,177","65,637","637,327"
The Uniting Church in Australia Property Trust (Q),"14,762","84,251","571,040"
The University of Queensland,"3,523","123,686","539,991"
Tiger Airways Australia Pty Limited,"206,287",0,"3,077,075"
Tiwest Pty Ltd,"559,566","243,077","8,691,909"
Toll Holdings Limited,"437,525","95,164","6,586,645"
Toyota Motor Corporation Australia Ltd.,"42,129","128,132","1,157,858"
TransAlta Energy (Australia) Pty Ltd,"692,651",73,"13,289,639"
Transfield Services Limited,"1,167,022","108,688","19,832,820"
Transfield Worley Power Services Pty Ltd,"2,052,048",0,"23,228,357"
TransGrid,"15,305","2,045,795","8,363,761"
Transpacific Industries Group Ltd,"776,057","43,258","2,685,173"
TRUenergy Holdings Pty Ltd,"15,612,214","227,828","221,553,056"
TT-Line Company Pty Ltd,"152,787","1,462","2,085,306"
Unimin Asia Pacific Pty Ltd,"309,140","195,779","3,090,012"
United Energy Distribution Holdings Pty Limited,"6,603","603,150","1,868,829"
University of Melbourne,"13,402","122,091","614,280"
V/Line Corporation,"80,243","11,960","1,185,738"
Valemus Australia Pty Ltd1,"64,212","65,550","1,191,266"
Veolia Transport Australasia Pty Ltd,"57,002","204,661","1,521,585"
Virgin Blue Holdings Ltd,"1,730,209","14,256","24,913,641"
Vodafone Hutchison Australia Pty Ltd,71,"112,072","436,308"
Waste Recycling and Processing Corporation (Trading as WSN Environmental Solutions),"411,580","10,364","331,513"
Water Corporation,"125,330","458,603","2,364,091"
Wesfarmers Limited,"2,403,609","2,760,935","41,042,209"
Westfield Holdings Limited,"9,467","329,538","1,379,053"
Westpac Banking Corporation,"7,430","186,869","864,732"
Whitehaven Coal Limited,"301,714","9,557","1,337,393"
Woodside Petroleum Ltd.,"8,391,652","38,443","1,557,762,307"
