Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Total Net Energy consumed  (GJ),Important Notes
INDEPENDENCE GROUP NL,46092786304,"39,210","16,976","794,955",N/A
INGHAMS ENTERPRISES PTY. LIMITED,20008447345,"70,724","209,282","1,896,757",N/A
INTERCONTINENTAL SHIPPING PTY. LIMITED,17008597699,"116,221",0,"1,651,105",N/A
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LTD,70105041209,"16,229,760","199,227","137,827,522",N/A
Investa Property Group Holdings Pty Limited,68125612419,"2,919","90,121","421,182",N/A
IPMG PTY LIMITED,84123230259,"12,711","69,473","511,486",N/A
Isaac Plains Coal Management Pty Ltd,76114277315,"109,310","28,111","1,073,778",N/A
ISPT PTY LTD,28064041283,"3,937","60,008","305,934",N/A
J.J. RICHARDS & SONS PTY LTD,40000805425,"73,981","5,102","1,090,281",N/A
JBS Holdco Australia Pty Ltd,89126211023,"196,489","176,727","2,866,446",N/A
Jellinbah Group Pty Ltd,54010754793,"214,135","8,335","1,841,592",N/A
JET SYSTEMS PTY. LIMITED,34003469574,"169,169","1,797","2,439,757",N/A
John Swire & Sons Pty Ltd,88000106141,"16,950","63,123","505,381",N/A
Kalari Proprietary Limited,14004595395,"55,605","1,430","804,539",N/A
KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,97009377619,"204,131","252,279","4,725,655",N/A
Karara Mining Limited,68070871831,"76,923","264,023","2,331,861",N/A
Keolis Australia Pty Ltd,68132482850,"2,604","98,563","329,916",N/A
Kilcoy Industries Australia Pty Ltd,16125927308,"31,561","19,257","251,138",N/A
KIMBERLY-CLARK PACIFIC HOLDINGS PTY LIMITED,59095905294,"100,019","80,435","2,411,494",N/A
Knauf Australia Pty Ltd,86003621181,"39,649","15,953","826,911",N/A
