Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption 3(GJ)
Unimin Asia Pacific Pty Ltd,"205,880","71,010","1,652,865"
United Energy Distribution Holdings Pty Limited,"5,421","634,533","1,949,628"
University Of Melbourne,"14,828","119,381","637,870"
Veolia Transport Australasia Pty Ltd,"57,732","475,209","2,320,700"
Virgin Blue Holdings Ltd,"1,734,892","14,167","24,976,991"
Waste Recycling And Processing Corporation,"675,074","9,046","369,723"
Water Corporation,"110,206","470,679","2,192,704"
Wesfarmers Limited,"3,012,159","2,696,528","42,717,141"
Westfield Holdings Limited,"12,444","344,807","1,443,271"
Westpac Banking Corporation,"8,581","183,494","864,490"
Whitehaven Coal Limited,"254,924","4,258","1,152,436"
Woodside Petroleum Ltd.,"8,198,156","44,224","115,701,316"
Woolworths Ltd,"330,883","2,424,625","10,242,010"
Xstrata Holdings Pty Ltd,"2,762,361","1,089,718","18,098,366"
Peabody (Burton Coal) Pty Ltd,"144,152","21,716","1,366,898"
Wilpinjong Coal Pty Ltd,"370,118","14,122","57,123"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
