Controlling corporation,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
HYDRO-ELECTRIC CORPORATION,48072377158,"408,008","13,157","5,452,125",-
HYNE & SON PTY LIMITED,67009660995,"6,024","44,478","3,765,801",-
IBM A/NZ HOLDINGS PTY LIMITED,12105319248,310,"65,780","263,616",-
ICON WATER LIMITED,86069381960,"66,616","141,487","835,816",-
ICPF HOLDINGS LIMITED,20610989805,"2,929","78,082","377,973",-
IDEMITSU AUSTRALIA RESOURCES PTY LTD,45010236272,"273,325","96,840","3,859,126",-
ILUKA RESOURCES LIMITED,34008675018,"324,239","69,970","4,378,595",-
INCITEC PIVOT LIMITED,42004080264,"1,504,131","176,296","31,036,289",-
INDEPENDENCE GROUP NL,46092786304,"49,621","15,599","926,386",-
INGHAMS ENTERPRISES PTY LIMITED,20008447345,"63,653","191,217","1,804,299",-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,70105041209,"14,586,333","191,109","122,938,552",-
IPMG PTY LIMITED,84123230259,"11,515","64,874","482,045",-
ISPT PTY LTD,28064041283,"4,190","70,105","355,669",-
IXOM HOLDCO PTY LTD,36602722547,"10,100","177,308","1,054,607",-
J.J. RICHARDS & SONS PTY LTD,40000805425,"72,489","4,911","1,059,889",-
JELLINBAH GROUP PTY LTD,54010754793,"215,641","7,739","1,670,136",-
JET SYSTEMS PTY LIMITED,34003469574,"152,383","1,564","2,178,983",-
JKC AUSTRALIA LNG PTY LTD,14154383409,"49,644","19,358","821,221",-
JOHN SWIRE & SONS PTY LTD,88000106141,"18,532","60,215","525,972",-
KALARI PROPRIETARY LIMITED,14004595395,"63,314",944,"904,885",-
KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,97009377619,"217,611","243,081","4,584,406",-
KARARA MINING LIMITED,68070871831,"68,723","411,442","2,969,496",-
KEOLIS AUSTRALIA PTY LTD,68132482850,"37,122","103,619","1,226,332",-
KIMBERLY-CLARK PACIFIC HOLDINGS PTY LIMITED,59095905294,"106,456","39,420","2,241,978",-
KNAUF AUSTRALIA PTY LIMITED,86003621181,"42,208","17,326","878,252",-
LA TROBE UNIVERSITY,64804735113,"19,699","39,629","464,287",-
LANCO RESOURCES AUSTRALIA PTY LTD,30147835452,"67,032","8,611","1,017,933",-
LDO COAL PTY LTD,60140669932,"550,935","25,192","127,074",-
LENDLEASE CORPORATION LIMITED,32000226228,"71,956","115,039","1,466,691",-
LINDSAY AUSTRALIA LIMITED,81061642733,"105,711","7,788","1,535,154",-
LINFOX PROPRIETARY LIMITED,59004667298,"203,745","40,974","3,072,702",-
LION PTY LTD,50128004268,"80,790","174,291","2,199,763",-
