Registered Corporations,Scope 1,Scope 2,Scope 1+2,Energy Consumed
Gold Fields Australia Pty Ltd,"101,029","135,796","236,825","2,373,045"
Goldfields Power Pty Ltd,"124,997",0,"124,997","2,429,432"
Goodman Fielder Limited,"67,548","87,026","154,574","1,435,112"
GPT Management Holdings Ltd,"8,452","124,463","132,914","635,768"
GRAINCORP LIMITED,"57,648","167,959","225,607","1,666,760"
Grange Resources Limited,"199,591","71,275","270,866","4,120,060"
Greenfreight Holdings,"65,980",685,"66,665","994,396"
GUJARAT NRE COKING COAL LIMITED,"360,344","48,103","408,447","232,660"
GWI Holdings No.2 Pty Ltd,"94,461","4,710","99,170","1,386,190"
HAMSDALE AUSTRALIA PTY LIMITED,"30,425","30,614","61,039","411,226"
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED,"247,837","65,435","313,272","2,896,350"
HARBREW PTY LTD,"192,408","2,756","195,164","2,764,770"
Harvey Norman Holdings Limited,"4,958","155,552","160,510","681,256"
Healthscope Hospitals Holdings Pty Ltd,"9,744","90,120","99,864","556,438"
Heinz Watties Pty Ltd,"40,115","37,650","77,766","705,051"
Hewlett-Packard South Pacific Pty Ltd,876,"144,315","145,191","546,485"
Holcim Participations (Australia) Pty Ltd.,"214,152","80,790","294,942","3,453,544"
Holiday Inns Holdings (Australia) Pty Ltd,"14,025","77,817","91,842","592,829"
Honan Holdings Pty Ltd,"310,536","259,423","569,959","5,715,316"
HRL Limited,"2,388,137","176,326","2,564,463","32,857,070"
Hunter Water Corporation,"26,090","68,025","94,115","361,177"
Huntsman Corporation Australia Pty Ltd,"12,572","78,808","91,380","2,029,482"
Hydro Aluminium Kurri Kurri Pty Ltd,"320,712","2,199,240","2,519,952","11,687,720"
Hyne & Son Pty. Limited,"5,998","58,967","64,966","2,172,384"
IBM A/NZ Holdings Pty Limited,968,"100,508","101,477","391,456"
ICC Holdings Pty Limited,"121,724","2,076","123,800","7,794,634"
IDEMITSU AUSTRALIA RESOURCES PTY LTD,"359,573","93,559","453,133","3,667,613"
Iluka Resources Limited,"596,774","182,533","779,306","8,862,922"
