Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
Macquarie Generation ,18402904344,"3,712,311","12,792","25,703,783","AGL Energy Limited purchased Macquarie Generation in September 2014. This includes the Bayswater Power Station, Liddell Power Station and Hunter Valley Gas Turbines facilities.  Macquarie Generation reported these facilities for part of the 2014-15 financial year and AGL Energy Limited reported for the remainder of the year."
Manildra Milling Pty Ltd,73002724021,"286,321","265,145","6,389,426",N/A
MARS AUSTRALIA PTY LTD,48008454313,"33,636","89,086","948,357",N/A
MATER MISERICORDIAE HEALTH SERVICES BRISBANE LIMITED,83096708922,"10,842","40,060","317,667",N/A
McAleese Limited,86156354068,"231,548","5,167","3,836,490",N/A
MCCAIN FOODS (AUST) PTY LTD,96000629587,"30,971","81,133","1,069,183",N/A
McDonald's Australia Ltd,43008496928,"1,013","94,831","402,495",N/A
Melbourne Water Corporation,81945386953,"253,963","223,916","1,497,639",N/A
Metals X Limited,25110150055,"50,679","19,958","837,086",N/A
METCASH LIMITED,32112073480,"8,530","85,527","451,305",N/A
METRO TRAINS MELBOURNE PTY LTD,43136429948,"6,032","526,595","1,698,792",N/A
METROPOLITAN HEALTH SERVICE,13993250709,"30,429","144,859","1,284,979",N/A
Mineral Resources Limited,33118549910,"84,743","2,391","1,241,382",N/A
MIRVAC LIMITED,92003280699,"9,853","67,507","435,178",N/A
MMG MANAGEMENT PTY LTD,33115312680,"131,341","337,766","4,245,608",N/A
Monash Health,82142080338,"11,432","67,558","430,086",N/A
MONASH UNIVERSITY,12377614012,"18,542","112,805","700,567",N/A
Mondelez Australia Holdings Pty Ltd,86004880817,"27,503","62,357","814,565",N/A
MOUNT GIBSON IRON LIMITED,87008670817,"76,334","1,800","1,121,469",N/A
Multinet Group Holdings Pty Ltd,83104036937,"273,964","1,356","872,844",N/A
Murray Goulburn Co-operative Co. Limited,23004277089,"237,834","300,878","5,261,234",N/A
Myer Holdings Limited,14119085602,"1,874","166,935","707,151",N/A
NATIONAL AUSTRALIA BANK LIMITED,12004044937,"11,309","130,096","652,454",N/A
NCIG HOLDINGS PTY LTD,98124700483,"2,156","63,697","298,320",N/A
NESTLE AUSTRALIA LTD,77000011316,"35,497","121,912","1,509,495",N/A
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD,23003502654,"120,434","138,584","2,763,781",N/A
Newcrest Mining Limited,20005683625,"528,282","842,728","13,143,292",N/A
NewGen Kwinana Holdings Pty Ltd,68116576955,"851,682","3,081","9,177,368",N/A
Newmarket Gold Victorian Holdings Pty Ltd,21128442375,"26,144","152,017","873,144",N/A
Newmont Australia Holdings Pty Ltd,95099040507,"366,985","761,127","8,908,040",N/A
NEWS AUSTRALIA HOLDINGS PTY LIMITED,32105197028,"4,911","90,372","452,344",N/A
NEXTDC Limited,35143582521,145,"53,567","198,015",N/A
NH Foods AUSTRALIA PTY LTD,87001548401,"73,392","53,221","913,698",N/A
Norske Skog Industries Australia Limited,50003902985,"235,570","136,482","8,289,238",N/A
NORTHERN STAR RESOURCES LIMITED,43092832892,"185,683","82,931","3,637,909",N/A
Norton Gold Fields Limited,23112287797,"68,413","77,661","1,324,987",N/A
NRG VICTORIA I PTY LTD,26076286578,"6,301,561","55,547","47,878,292",N/A
NSW Trains,50325560455,"61,533","163,234","1,608,291",N/A
NUFARM LIMITED,37091323312,"11,402","46,554","349,929",N/A
Nyrstar Australia Pty Ltd,46124535468,"355,837","286,957","9,072,764",N/A
Olam Orchards Australia Pty Ltd,15139442532,"8,629","96,834","425,041",N/A
ORICA LIMITED,24004145868,"1,561,244","283,894","20,778,465",N/A
ORIGIN ENERGY LIMITED,30000051696,"16,743,130","399,667","157,816,243",N/A
Orora Limited,55004275165,"314,074","324,737","6,519,683",N/A
Owens-Illinois (Australia) Pty Ltd,30002060059,"301,456","208,709","5,353,096",N/A
OZ MINERALS LIMITED,40005482824,"180,290","199,209","3,798,773",N/A
OzGen Holdings Australia Pty Ltd,34128655096,"10,345,529","25,158","74,263,522","Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because nomination of operational control has not been made, as neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility. For further information refer to the 2014-15 greenhouse and energy information for designated generation facilities."
Pact Group Holdings Ltd,55145989644,"12,502","248,693","1,130,989",N/A
Panoramic Resources Limited,47095792288,"56,987","13,927","906,915",N/A
PAPER AUSTRALIA PTY LTD,63061583533,"362,902","296,859","16,270,982",N/A
PARMALAT AUSTRALIA PTY LTD,56072928879,"46,059","108,014","1,251,868",N/A
Peabody Australia Holdco Pty Ltd,61154820130,"3,187,053","306,014","11,061,364",N/A
PEAK GOLD ASIA PACIFIC PTY LTD,93103879054,"9,179","73,363","448,121",N/A
Pechiney Consolidated Australia Pty Ltd,39076569769,"1,123,804","7,070,284","39,518,305",N/A
PERILYA LIMITED,85009193695,"12,707","135,065","772,955",N/A
PFD FOOD SERVICES PTY LTD,29006972381,"28,825","38,088","548,424",N/A
PMP Limited,39050148644,"11,224","66,302","468,624",N/A
PORT WARATAH COAL SERVICES LTD,99001363828,677,"130,083","553,824",N/A
POWER AND WATER CORPORATION,15947352360,"100,129","130,373","1,576,300",N/A
Power Generation Corporation,72687980755,"1,034,724",0,"14,940,950",N/A
Pratt Consolidated Holdings Pty. Ltd.,43104958581,"338,120","1,040,884","21,309,158",N/A
PTTEP Australia Perth Pty Ltd,74134686525,"419,079",538,"5,775,949",N/A
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA,61850109576,"8,378","98,653","588,596",N/A
Puma Energy (Australia) Holdings Pty Ltd,26147978890,"34,940","25,437","618,510",N/A
Qantas Airways Limited,16009661901,"4,457,927","155,826","66,000,446",N/A
QCoal Pty Ltd,99010911234,"191,427","31,289","1,507,966",N/A
Qenos Holdings Pty Ltd,62086026968,"826,276","186,630","32,688,414",N/A
QIC Limited,95942373762,"5,058","102,222","475,488",N/A
QNI Resources Pty. Ltd.,14054117921,"1,169,193","57,109","16,513,745",N/A
Quadrant Energy Australia Ltd,39009301964,"1,305,675",880,"22,557,679",N/A
Qube Holdings Limited,14149723053,"266,020","17,188","3,895,069",N/A
QUEENSLAND ALUMINA LIMITED,98009725044,"3,082,372","621,224","42,198,740",N/A
Queensland Curtis LNG Pty Ltd,77130857215,"131,688",9,"2,282,763",N/A
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82078849233,"16,588","1,265,149","5,667,601",N/A
Queensland Nitrates Pty Ltd,63079889268,"170,496","45,347","3,016,761",N/A
QUEENSLAND RAIL LIMITED,71132181090,"40,461","217,120","1,545,849",N/A
RAMSAY HEALTH CARE LIMITED,57001288768,"15,221","155,396","935,749",N/A
RATA INTERNATIONAL PTY LTD,67109036580,"9,189","45,442","314,358",N/A
RATCH - Australia Corporation Limited,31106617332,"94,811","5,803","1,423,071",N/A
RCI HOLDINGS PTY LTD,55101671121,"31,896","63,523","746,605",N/A
Reece Limited,49004313133,"16,585","33,571","369,381",N/A
REGIONAL EXPRESS HOLDINGS LIMITED,18099547270,"102,503",0,"1,478,958",N/A
REGIONAL POWER CORPORATION,57955011697,"82,670","38,543","1,401,773",N/A
Regis Resources Limited,28009174761,"186,711",0,"2,685,238",N/A
Remondis Australia Pty Ltd ,95002429781,"188,726","4,231","825,567",N/A
RESOLUTE MINING LIMITED,39097088689,"17,171","54,253","492,473",N/A
RICEGROWERS LIMITED,55007481156,"10,112","89,162","543,266",N/A
Ridley Corporation Limited,33006708765,"58,228","75,564","1,447,836",N/A
Rio Doce Australia Pty Limited,63112797403,"1,024,443","76,588","567,483",N/A
Rio Tinto Limited,96004458404,"8,883,330","9,339,857","158,806,730",N/A
RITCHIES STORES PROPRIETARY LIMITED,61005041814,"18,534","81,399","304,807",N/A
RON FINEMORE TRANSPORT PTY. LTD.,30106495087,"74,384",507,"1,152,913",N/A
Royal Melbourne Institute of Technology,49781030034,"7,873","72,746","371,725","These corporations have voluntarily provided information to the Clean Energy Regulator concerning GreenPower renewable energy purchases, voluntarily surrendered Renewable Energy Certificates or offset scope 2 greenhouse gas emissions totals. For further information refer to the separate table for GreenPower purchases, Renewable Energy Certificates and offset scope 2 emission totals 2014-15 report."
SAIPEM (PORTUGAL) COMERCIO MARITIMO SOCIEDADE UNIPESSOAL LDA,25100388458,"75,599",181,"1,031,361",N/A
Sandfire Resources NL,55105154185,"76,647",140,"1,103,581",N/A
Santos LTD,80007550923,"4,244,110","32,932","41,427,371",N/A
SARACEN MINERAL HOLDINGS LIMITED,52009215347,"87,451",60,"1,302,138",N/A
